segment_id,t_start,t_end,dur_s,whisper_fr,xlsr_fr,whisper_en_per_seg,whisper_en_cont,xlsr_en
seg_0290,837.52,838.9,1.38,"depuis celle des enfants,",ju cele des enfants,N illustration ...,"yours, since that of the children,",Then the children.
seg_0291,840.44,843.62,3.18,vous en avez plutôt de bons souvenirs ?,us en avez plutôt de bons souvenirs,I had quite good memories of it.,do you have any good memories or no memories at all?,"Well, it’s more than good memories."
seg_0292,843.62,845.54,1.92,"Non, pas de souvenirs du tout.",pas de souvenir du tout,Thank you for watching!,or no memories at all?,Don’t wake up at all.
seg_0293,847.62,849.72,2026-01-02 00:00:00,"Alors vous, c'était une école privée ?",cétait une école privée,So you are in a private school.,"So you, it was a private school, Catholic? A private school, Catholic, so in the mixed elementary,",Levon was a private school.
seg_0294,849.72,852.0,2.28,"Une école privée catholique,",une école privée catholique,"A private school, Catholic...","A private school, Catholic, so in the mixed elementary,","A private, catholic, private school."
seg_0295,852.0,854.0,2.0,"donc dans l'élémentaire mixte,",donc dans lélémentaire mixte,in the mixed element.,"A private school, Catholic, so in the mixed elementary,","So, in the mix-interest components?"
seg_0296,855.34,857.0,1.66,et de la 6ème à la terminale non mixte.,de la sixième ala terminale non mi,"from the sixth to the final, not put.","and from the sixth to the final, not mixed.",From the sixth to the final no. No.
seg_0297,858.0,859.68,1.68,Donc je peux pas dire que j'ai un très bon souvenir.,je peux pas dire que j'ai un très bon souvenir,I can't say I have a very good memory.,So I can't say that I have a very good memory.,I can’t say that I have a very good memory.
seg_0298,859.84,861.8,1.96,Ce qui était devenu une rareté quand même.,j'étais devenu une rareté carme,,"Which had become a rarity, anyway.",Even if it had come as a rarity.
seg_0299,862.08,863.14,2026-06-01 00:00:00,Bah oui.,beh oui,I'm hungry !,"Well, yes. Same, in the eleventh,",Goodbye.
seg_0300,863.76,866.0,2.24,"Pareil, dans le 11ème, rue...",ile dans le onzième rue,in the 11th street.,"Well, yes. Same, in the eleventh,","In the eleventh place, in the 11th place."
seg_0301,868.1,868.52,0.42,rue ?,,Thank you for watching!,rue...,I’m sick.
seg_0302,868.52,869.98,1.46,Je ne peux plus me faire le faux bourg Saint-Antoine.,jepus uvers le faubourg saint-antoine,I'm not going to the St-Antoine football anymore.,"rue... I can't remember, Saint-Antoine's-le-Faubourg,",I was able to buy the Saint-Antoine-Saint-I can’t go to the St. Antoine’s Boulevard.
seg_0303,870.12,871.36,1.24,C'est une école qui existe toujours.,est une école quexiste toujours,It's an icon that still exists.,"it's a school that still exists, it's called Saint-Pierre-Fourigny.",a coin that still exists.
seg_0304,871.6,872.8,2026-02-01 00:00:00,Il s'appelle Saint-Pierre-Fourri.,il sapele de saint-piere-fourier,His name is St-Pierre Fournier.,"it's a school that still exists, it's called Saint-Pierre-Fourigny.",His name is Saint Saint Pierre Fourry.
seg_0305,881.14,881.48,0.34,Donc...,maime,Memo,"anyway, between girlfriends,",Even me.
seg_0306,881.48,884.78,2026-03-03 00:00:00,"entre copines, voilà, bonne bande de copines.",entrecopines voilà bone bande de copine,"between friends, a good bunch of friends.","anyway, between girlfriends, a good bunch of girlfriends, where is she?","Am between among among amongst?... Here, a good copy Coppy comics comics.... Good good copy Copies comics!... Good copyie... Coppy... Coppie... Copie...... Coppye... Copyies... Copye...... Copy... Copp... Co-... Copping... Co... Cophie... Cooper... Co.... Copies... Copper... CoCP... Coppe... Coup... Copsy... Co...” Coppies... Co copies... Copped... Copo... Coffin... Co..... Coppi... Cocopy... Cope... Coffi... Coco... Co... Coppine... Co Philip... Coppo... Co Phi... Coppa... Co” Coppy... Co- Coppy/ Coppy. Coppy! Coppy- Coppi... Co. Co-Coppy... co... Co Coppy ( Coppy) Coppy? Coppy, Coppy etc Coppy”. Coppy / Coppy amongst Coppy?” Coppy Am among amongr Coppy ” Coppy” Coppi? Coppi. Coppi! Co- Am amongst COppy?... Co Coop... Co psych... Copit... Co copy... Copropyl... Coop... Copic... Co pics... Coppen... Copti... Copor... Coby... Copoly... Co Pi... Co Pengu... Coppel... Cosi... Co Pé... Co Pea... Co Pussy... Co Psy... Co pop... Co Py... Cocks... Co Pep... Cocou... Co..."" Coppy’ Coppy!!! Coppi- Co......... Cooper... Co Coppi, Coppi amongst... Cow... Copier... Co...... Coppy between... Co Pir... Co mate... Coptic... Coci... Coping... Coqui... Copion... Co.” Coppy is Coppy rif... Cops... Cobb... Co buy... Covy... Coピー... Co Opp... CoPPI... Co wife... Co pp... Co Pip... Co...). Coppy and Coppyettes... Coch... CoPC... Co Clip... Coft... Co Coupe... Coupp... Coép... Cohip... Coops... Copho... Co girlfriend... Co”, Coppy...) Coppy from... Co tits... Co Porn... Copte... Co, Co... Comp... Coa... Coper... Copal... Covin... Co friend... Co trou... Co rep... Co between"
seg_0307,885.1,887.46,2.36,Où est-ce qu'elle est ?,je fonsai lous,Thank you.,"a good bunch of girlfriends, where is she? Ah, it's a good memory.",I don’t know.
seg_0308,887.46,887.72,0.26,C'est bon souvenir ?,ace,,"Ah, it's a good memory.",To the end.
seg_0309,887.72,888.52,0.8,"Ah, c'est bon souvenir.",c'est mon souvenir,It's a good memory.,"Ah, it's a good memory.",This is such a good memory to have such good memories.
seg_0310,888.7,891.78,2026-08-03 00:00:00,"Que des femmes aussi, donc évidemment c'est...",ue des femes ausi donc siludement s,"and more for women, so obviously…","Only women too, so obviously it's... No, in general, it's a good memory.","Women as well, obviously."
seg_0311,891.78,893.82,2026-04-02 00:00:00,"Non, dans l'ensemble, c'est bon souvenir.",ondon dans lensemble asez bon souvenir,"In total, these are my memories.","No, in general, it's a good memory.","There is a rather a pretty pretty good memorys, a pretty good memories."
seg_0312,894.28,896.28,2.0,"Beaucoup moins de pression, je pense, que mes filles à l'école.",beaucoup moins de presion je pense que mes files à lécole,I think my girls are under a lot less pressure at school.,"Much less pressure, I think, than my daughters at school.","I don’t have much enough pressure, I think I do my fair-at school, I’m in school."
seg_0313,896.36,898.06,2026-07-01 00:00:00,"Moi, la pression, je n'ai pas connue.",n la presion j'ai pas conu,I didn't know the pressure.,I didn't know the pressure.,"I didn’t know how to feel the pressure, I did not know."
seg_0314,899.66,901.56,2026-09-01 00:00:00,"Mes devoirs, je me rappelle à peine en avoir fait.",une voir je men rapele à peine en avoir fait,I remember the pain of having done it.,"My homework, I don't remember having to do it,",I don’t regret having done it.
seg_0315,901.8,904.48,2.68,"Donc je n'ai pas du tout de souvenirs scolaires,",jai penu tout de souvenir scolaire,I don't have any school memories.,"so I don't have any school memories at all,",I don’t have any school memories at all.
seg_0316,907.04,909.74,2026-07-02 00:00:00,"comme de la même façon que se passe la scolarité de mes filles,",de la même façon que sepase la scolarité de mifie,in the same way that my daughters are studying.,"like the way my daughters' schoolwork is going,",In the same way that the mischief schooling happens.
seg_0317,909.74,912.46,2.72,"qui ont quand même beaucoup de devoirs, beaucoup de choses à faire à la maison.",cencore mêime beaucoup de devoirs o beaucoup de choses à faires à la maison,"We still have a lot of homework, a lot of things to do at home.","which still has a lot of homework, a lot of things to do at home.","I still have a lot of good wills, many things to do on the table, but a lot is there to do at the table."
seg_0318,913.56,917.62,2026-06-04 00:00:00,"Bon, ceci dit, j'étais une élève moyenne, autour de 9-10, et je ne devais pas me...",cecilu jétait uneune élève moyene autour de neuf dis et je levais pome,"I was an average student, around 9 or 10, and I didn't have to...","So, I was an average student, around 9 or 10, and I didn't have to...","As he said, I was an average middle-aged student, around the average age of nine and ten, and I used to eat apples."
seg_0319,917.62,921.82,2026-02-04 00:00:00,"Et vous n'avez pas de souvenirs d'une dramatique, mais au contraire,",et vous navez pas de souvenir dîne dramatique mis au contraire,"You don't have any dramatic memories, but on the contrary...","And you don't have any dramatic memories, but on the contrary, a founder, like the fascinating teacher who says the sentence...","And you don’t have any dramatic memories, but on the contrary..."
seg_0320,922.22,925.72,2026-05-03 00:00:00,"fondateur, comme vous savez, le prof fascinant qui dit la phrase...",ateur compt à ble prope fascinant quil dit la brase quitn,The fascinating teacher who says the sentence...,"but on the contrary, a founder, like the fascinating teacher who says the sentence...","Like a pun reader, like a writer, like an adventurer."
seg_0321,926.18,928.08,2026-09-01 00:00:00,"Vous êtes passé un peu à côté, quelqu'un ?",vous êtes pasé un peu à côté,You were a bit too close.,"You went a little bit aside, someone?",You were a little past by the side of the steps.
seg_0322,928.08,931.36,3.28,"Oui, je suis passé un peu à côté, et je pense que, voilà,",oui je pasez un peu à côté je pense que,"Yes, I was a bit away and I think that's it.","Yes, I went a little bit aside, and I think that the quality of the teachers I had there","Yes, I was a bit on the side, and I think, yes, I did, and indeed, it was true, I went a bit to the side... and I thought, OK, well, that is true. Yes, Yes, it happened, I moved a bit by Yes Yes, It was right, and Yes, Well, I took a bit side... And I was standing by Yes, That Yes, Inde Yes, So, Yes Yes Yes! Yes, Alright, Yes — Yes, indeed, YesYes, Yes... Yes, You Yes, yes Yes, Exactly, Yes Yeah, Yes indeed, Inde, Yes yes, Yes; Yes, Absolutely, Yes No, Yes True, Yesyes, Yes. Yes Yes indeed Yes, There, Yes Good, Yes Very Yes, ” Yes, All Yes, Of Yes, OK Yes, Now, Yes definitive Yes, Here Yes Yes Inde Yes Yes. And Yes, Ok, Yes sure, Yes – Yes, Okay, Yes Well, Yes Inde, Inde Inde Yes yes Yes Yes; Inde Yes indeed indeed, I stood by me, Yes Exactly Yes YesYes Yes Yes: Yes, But Yes, Be Yes, Right, Yes! Inde Yes Inde yes, Inde indeed, Well Well, Well Yes Yes yes indeed, OK. Yes Inde indeed Yes Yessir, Yes Absolutely Yes Yes Plus Yes Yes Exact Yes Yes Absolut Yes Yes No Yes Yes Al Yes Yes Thanks Yes Yes Precis Yes Yes “ Yes Yes Yeah Yes Yes Thank Yes Yes Cer Yes Yes Finally Yes Yes Everything Yes Yes All Yes Yes Und Yes Yes Oh Yes Yes True Yes Yes Exc Yes Yes Both Yes Yes Alla Yes Yes Fine Yes Yes Then Yes Yes Always Yes Yes Great Yes Yes Anyway Yes Yes OK Yes Yes Well Yes Absolut Absolut Absolut Yes Inde Inde Inde Well Yes Inde Exact Exact Exact Yes yes Inde Yes Well Well Yes indeed Inde Yes Exact Inde Yes Absolut Inde Yes No No Yes Inde Absolut Yes Absolut yes Yes Inde Well Inde Yes Al Al Yes Well Inde Inde indeed indeed Yes Inde Al Yes Inde All Yes Inde That Yes Yes Only Yes Yes Wow Yes Yes Look Yes Yes Actually Yes Yes Excellent Yes Yes Alm Yes Yes Good Yes Yes Sur Yes Yes Sorry Yes Yes Later Yes Yes definit Yes Yes A Yes Yes Total Yes Yes Definitiv Yes Yes ‘ Yes Yes Ye Yes Yes Awesome Yes Yes Ya Yes Yes Ident Yes Yes Surel Yes Yes This Yes Yes Real Yes Yes De Yes Yes Me Yes Yes Yay Yes Yes We Yes Yes One Yes Yes More Yes Yes Over Yes Yes Very"
seg_0323,931.38,933.74,2.36,"la qualité des profs que j'avais là-bas, bon,",la qualité dépreuve que javais là-bas bon,the quality of the teachers I had there.,"and I think that the quality of the teachers I had there was maybe quite average, a little...","The quality of my pro’s skills over there. Well, well, that is..."
seg_0324,933.74,939.66,5.92,"j'étais peut-être assez moyenne, un peu classique, un peu...",des têtes asez moyene un peu umpeu crasique un peu,"maybe a bit average, a bit classic, a bit...","was maybe quite average, a little... a little classic, a little...","It might be fairly average, a little bit classic, a bit a bit... well, well...... well... well... well... maybe... medium... a little... a bit classic...... but......... very...... perhaps...... quite... medium."
seg_0325,939.66,942.94,3.28,"Souvenirs de gens un peu moralisateurs, un peu nyan-nyan, si vous voulez.",souvenir de gens un peu moralisateur un peniagnon sil vous voulez,"A memory of a moralizing person, a little yandere, if you will.","a little classic, a little... a little moralizing, a little yandere, if you like.","memory of a slightly moralizing people, a a a bit moralizing, a little annoning, a bit kimormormormentalizing, if you wish to be mad if you wanted to be. If you would be a little moralizer as a moralist, a small-amoralizing, I a little why if you want to be crazy, if it were you unw if you would wish to wish yourself to be for what you would do if you could be yoursel if if you were unwillment as a moralizer, being moralizing - a a little blessing, a ki kissing, if I wish if you I would be unluck if you if I would wish you to be un unwif if you please would be in your heart, if if I I wish wish wish you would to be regretless, if your wish wish if I could be unwr if you Wish if you you would would be wish as if you are un un unfortunamentalmentalmentalment, if hap if you un if if if wish wish I would if you hope to be, you would, if wish you wish wish for your wish, if i wish wish, I would would wish if if... if you Would if you yourself wish wish to please, if, if at all, you wish, you if you indul indul indulment, you, if imper imper impermentalmental, if un un if you dare, if offen if if your luck, if w w if if, you you if if would wish wish yourself, if yourself yourself yourself if if yourself if you don if if everything, ifIf if if desired, I I would I would, I, if perhaps, if not, if stroke if if un w w w, you I I I if if personally, if would if I, I wish I if I am, if that I I, un un I I charming, as if I if you possibly, if whether if I was un un w if I un unun if I cyclicyclicyclimentmentment, I un if I you would if if please, I will if I please I would please please, for I wish you I wish! if I should be, if l if if i I wish as I wish myself if I may I wish... if I dream, if please I wish for I I could I wish, un I wish un un, I for if I de I I un I if wish I I pra I I can I I che"
seg_0326,943.28,944.98,2026-07-01 00:00:00,Je ne vois pas vraiment...,fort dans ale man heureuse,love you.,"I don't really... A very good elementary school district,",I don’t know how to do it.
seg_0327,944.98,948.52,3.54,"Et vos filles, comme parents d'élèves,",que pe bou file come parent d'élèves,"as a parent of your daughters, as a student parent","A very good elementary school district,",How do you know how parents are elected?
seg_0328,949.32,951.8,2.48,qu'est-ce que vous diriez à quelqu'un ?,i-ce que vous diriez lécole,What would you say to the camera?,"A very good elementary school district,",What would you say to the people?
seg_0329,951.8,954.74,2.94,Plus du collège et plus du lycée ?,du colège etpuis le lycée,,"A very good elementary school district,","At college, I could have read it."
seg_0330,956.02,956.14,0.12,Euh...,,,"A very good elementary school district,",
seg_0331,956.14,958.7,2.56,"C'est quand le quartier, non ?",el mertil,,"A very good elementary school district,",I’m sorry.
seg_0332,958.7,961.38,2.68,Très bonne école de quartier en élémentaire.,très bone école de quartiers en élémentaire,a very good elementary school.,"A very good elementary school district, I think that elementary school works well,",Very good elementary school.
seg_0333,961.38,963.36,1.98,"Moi, je trouve que l'élémentaire fonctionne bien,",je trouve que lélémentaire fonctione bien,I think the elementary works well.,"I think that elementary school works well,","Well, I think that the elemental is working well well, but the elementals do well well."
seg_0334,963.48,966.56,2026-08-03 00:00:00,"que les enfants, il y a un vrai mélange, il y a un vrai soutien.",les enfants iaia un vrai mélange et un frais soutil,"There is a real mixture, a real touch.","that there is a real mix, there is a real support...","The children, there is a real mixture and a true support between the kids and the mixture."
seg_0335,966.96,970.36,2026-04-03 00:00:00,"Enfin, il y a un soutien pour quand même les enfants en difficulté,",il y a un soutien pour quand même les enfants dificulté,There is support for children with disabilities.,"that there is a real mix, there is a real support...",There is a support for children who are still in difficulty.
seg_0336,970.44,971.7,1.26,"moi, je trouve.",un chode trop,I find...,"I think so,",I find myself.
seg_0337,973.08,977.3,4.22,"Et par contre, le collège, je dirais que c'est...",et par contre le colège je dirai que cest,But I would say that college is...,"and on the other hand, I would say that the school is... The student is not taken into account","And on the other words, I would say that it is... Well, by the way, and on the College? And, on the contra Vers Vers Vers everywhere."
seg_0338,977.3,980.52,3.22,"Voilà, l'élève n'est pas pris en compte et un peu mal traité,",l'élève est pas pris en comte et un peu maltraité,The student is not taken into account and a little mistreated.,"The student is not taken into account and a little mistreated when they are in adolescence,",The pupil is not taken into consideration and is not well treated and treated a bit badly.
seg_0339,980.66,984.28,3.62,alors qu'ils sont à l'adolescence et qu'ils devraient...,lors qui sont à ladolescence est qui devrait,when they are teenagers and they should...,"and a little mistreated when they are in adolescence, and they should...",Those who are teenagers and who should be.
seg_0340,984.28,987.2,2.92,"Voilà, la différence de ceux qui arrivent à avoir,",voilà la diférence de ceux qui arivent à voir,This is the difference between those who manage to have...,"The difference between those who manage to have,",Here’s the difference of those who arrive to have a chance.
seg_0341,987.36,988.68,1.32,"ne serait-ce que des notes correctes,",cea rit-ce que des notes corectes,we've got the correct notes left.,"it would only be the correct grades,",Are there correct notes?
seg_0342,988.68,991.2,2.52,parce que c'est simplement par le travail qu'ils font à la maison.,s simplement parle le travail qui font à la maison,I know it simply from the work they do at home.,is simply by the work they do at home.,It’s simply because of the work he does at home.
seg_0343,991.82,994.22,2026-04-02 00:00:00,Donc je trouve ça...,ans que je trouve ça,So I think that...,"So I find that very sad,","Well, I find that."
seg_0344,994.22,995.4,1.18,"Voilà, je trouve ça très triste.",je trouve ça très triste,I find it very sad.,"So I find that very sad, the years of college, I find that very, very sad.","Well, I find that very sad."
seg_0345,995.56,997.88,2.32,"Les années collèges, je trouve ça très très triste.",es ani colège je trouve ça très très triste,I find it very sad.,"the years of college, I find that very, very sad.",I find this to be very sad for Anicholets.
seg_0346,998.16,1004.34,6.18,"Et vous n'imaginez rien, quelque chose, pour que ça s'améliore ?",e épousine magineriez quelque chose pour ça s'amélioure,and that you would imagine something to improve it.,"I would say more experimentation,",And would you imagine something better?
seg_0347,1005.06,1010.32,5.26,"Je dirais plus d'expérimentations, plus de travail entre pairs.",je dirai plus dexpérimentation plus de travail entre-pems,"I would say more experimentation, more work between parents.","I would say more experimentation, more work between parents,","I would say more experimentation, more work between pairs."
seg_0348,1010.38,1013.56,3.18,"Moi, je pense qu'on ne peut pas rester assis à l'heure actuelle,",je pense quon peut pas rester aisi à l'heure actuele,I don't think we can sit down right now.,"I think we can't sit down at the moment,","Well, it’s true, we can’t stay sitting at the current time."
seg_0349,1013.78,1015.94,2.16,de 8 heures du matin à 16 heures.,huit heures du matin à seize heures,from 8am to 4pm.,"from 8 am to 16 am,","Eat eight early morning, at eight, at six in the morning... at eight in the early eight — — at six, at seven, at night."
seg_0350,1015.94,1019.54,2026-06-03 00:00:00,"Je pense que, avec l'autorité du maître qui parle,",je pense que avec lautorité du maître qui parte,I think that with the authority of the master who speaks...,"from 8 am to 16 am, I think that with the authority of the teacher who speaks,","I think that with the master’s authority... who passes by, with the teacher."
seg_0351,1019.64,1022.96,3.32,je trouve que la pédagogie devrait quand même...,ouve que la pédagogie de vrai quant même,I think that pedagogy should...,"I think that pedagogy should still... should evolve more,",Education should still be taught.
seg_0352,1022.96,1031.88,8.92,"devrait plus évoluer en permettant aux élèves de réfléchir par eux-mêmes,",devrait plus évoluer en les en permetant aux élèves oi de réfléchir par eux-même,should evolve more by allowing students to think for themselves.,"should evolve more, by allowing students to think for themselves,","They should evolve more by allowing the students to think about themselves, yes, to think of themselves."
seg_0353,1032.0,1037.84,5.84,"d'avoir des outils de recherche, de travailler entre pairs.",avoir des outils de recherche de moyen de travailer entre pare,"to have research tools, to work with parents.","to have research tools, to work between parents.","You have research tools to work with, or to work between fathers."
seg_0354,1040.02,1043.96,3.94,"Je trouve qu'on est encore beaucoup dans le parqueur,",je trouve qu'on ai encore beaucoup denoui dans le parceur,I think we're still in the parker a lot.,"I find that we are still a lot in the park,","I think we’re still having a lot of fun in here, in the parking lot."
seg_0355,1044.72,1047.96,3.24,dans des programmes surchargés.,lont des programes on y quand même surces chargé,"in programs, yes, overloaded","in programs, yes, still overloaded.","In programs, yes, even overloaded."
seg_0356,1054.94,1056.76,1.82,Donc vous êtes sévère pour le parquet ?,donc vous êtes souvert pour le viron,So you are great for the channel.,"Yes, I find that there is a lot of orality,","Well, you’re so ugly for hell."
seg_0357,1056.76,1058.24,1.48,"Oui, je trouve qu'il y a beaucoup d'oralité.",oui jenfia beaucoup deo ralité,"Yes, I think there is a lot of reality.","Yes, I find that there is a lot of orality,","Yes, I think there are a lot of realities."
seg_0358,1060.02,1062.14,2026-12-02 00:00:00,"Le professeur parle, il parle, il parle.",par,The professor speaks.,"I find that the teacher speaks... speaks, yes.",Speak to the professor.
seg_0359,1062.2,1062.8,0.6,"Parle, oui.",en veiz,Yeah.,"speaks, yes.","Well, well."
seg_0360,1066.32,1069.72,2026-04-03 00:00:00,Malheur à un élève qui ne suit pas et ne s'en préoccupe pas plus que ça.,maler les lèves qui ne suis pas renecant préocupepa plus ce que ça,"Unfortunately, students who don't follow care about it.","Unfortunately, a student who does not follow does not worry more than that.","Sadly, a letter that doesn’t follow more than it does."
seg_0361,1071.4,1078.26,6.86,Vous avez vu décrocher éventuellement des enfants qui étaient des amis de vos parents ?,vous avez vu décrocher éventuelement des enfants qui étaient des amis de veau,You saw children who were friends of your children.,"Did you see, did you ever pick up children who were friends of your children? Yes, I saw absenteeism,",You may have seen children who were friends of yours take off.
seg_0362,1078.26,1081.72,3.46,"Oui, j'ai vu de l'absentéisme.",uij'ai vu de labsentéisme,"Yes, I saw absenteeism.","Yes, I saw absenteeism,","Yes, I saw absolutism."
seg_0363,1084.08,1087.2,2026-12-03 00:00:00,"Une amie à moi qui était vraiment paniquée,",une ami à moi qui étais vraiment paniqué,a friend of mine who was really panicked.,"a friend of mine who was really panicked,",A friend of mine who was really panic-stricken...
seg_0364,1087.64,1091.54,2026-09-03 00:00:00,son gamin fuguait pour ne pas aller à l'école.,gamin fugat pour aler pour ne pas aler à lécole,I was a child who fled to avoid going to school.,"his child fled to not go to school,","To go to school, not to go to college."
seg_0365,1092.08,1094.18,2026-01-02 00:00:00,"Passer ses journées, alors il avait quoi ?",pasez ses journées alors il avait coù,He had to work hard to get through his days.,"so he spent his days... so what did he have? It was last year,","spent those days, then he knew what he did he did, he was he he, he used he he he... he he did did he he who, he he went he he spent his days."
seg_0366,1094.18,1097.18,3.0,"C'était l'année dernière, il était en 5ème.",était l'anée dernière il était en cinquième,"Last year, he was in fifth place.","so what did he have? It was last year, he was in fifth.",It was the last year and he was in the fifth.
seg_0367,1097.18,1105.38,2026-02-08 00:00:00,"Parce que 1 en français, 2 en histoire géo, 3 en maths, avec des moyennes comme ça.",parce que un en français deux en histoire géot trois en matchs avec des moyenes come ça,"because one in French, two in Geo history, three in maths, with averages like this.","Because one in French, two in history, three in maths, with means like that.","Because one in French, two in Geaux history, three in Matte, with means as such."
seg_0368,1107.02,1109.3,2.28,Il était découragé en quelques semaines.,découragé,,"So he was discouraged in a few subjects. Yes, discouraged.",To discourage.
seg_0369,1110.64,1115.76,2026-12-05 00:00:00,"Oui, des fois on ne comprenait pas parce qu'il arrivait à rentrer dans l'école,",oui donc des fois non e comprenait pas pour ce quil arivait à rentrer dans lécole,Yes. Sometimes we didn't understand because he would come back to school.,"Sometimes we did not understand, because he managed to go to school, in the college, and hide,","Yes, so we sometimes didn’t understand it because he came back to school."
seg_0370,1115.8,1121.42,5.62,"dans le collège et se cacher, je ne sais pas, dans les toilettes, sans aller en cours.",dans le colège et se cacher hbois ou dans les toiletes ousansans aler-en cours,in the college and hide in the toilets or without going to class.,"to school, in the college, and hide, I do not know, in the toilets, without going to class.","in the college, and in college, to hide...... to get dressed...... I’m thinking of hiding...... in the bathrooms......... in bathrooms,... in toilets,...... inside...... of the toilets......... or in the gro...... out of the toilettes, or...... without running...... at school...... not at school, in the classrooms... or...... in the......... in...... of the... of...... bathrooms....... In the... Of...... At the... In... In the court...... To...... Of...... Of... In... Of the... At... Of The... Of school... Of in... In school... In college...... On... In College...... Out of... In schools...... With... In collegi...... For... In Colle...... By... In Coll...... From...... As... In a college..."
seg_0371,1124.9,1128.68,3.78,"Parce que sûrement maman n'est pas là pour pas surveiller,",parce que sûrement maman pas là pour aider pour p surveiler,"because surely mum wasn't there to help, to not watch over her.","Because surely, mom is not there to help, to not watch, did you do your homework?","sure mom’s mom is not sure to help to help, to don’’t help to “not to “to help” to “don’t ” to “... to help ” to do “not “to “to ” to ” to ‘to “not ” to...... to “for sure Mom’s mum’s mother was helping to help “to Help ” to help out “to” to help... “to in “to”) to “be ” because... my mom’’s – sure ma’s Mum’s... Mother... certainly... mom’... mother’s Ma’s Parent............ maybe... dam dam dam Dam... dam... Mada... mother... sure... mother mum... Dad... um... of..... to help help... to... to aid... to prevent...... to for... to forget to... that... to over... to..... to help... To... to... to......... “to... to! to... you... to! to... for... of Of... to.. to... on... to just... to? to...to......... to Et... to ”... to maybe maybe...... but...... maybe....................... maybe maybe maybe perhaps...... Mother Mother Mother... dam mum mum mum...... mom mum... sure Mother mother mum mum Mum mum... certainly mum... mom...... mum... mum mum mom mom mom... mum Mum Mum Mum mum Mum...... definitely... mom mom mum mum dad mum... mother mom... mother mother...... mother dam dam mum...... certainly...... Mum Mum... mom Mum mum mum Parent Parent... mother Mother...... da...... dam Dam dam dam...... uh...... Mada Mada...... um mum... to Help Help Help to help Help Help... to learn to help watch watch watch... to watch watch watching...... etc...... with...... to help helping to... without... to to...... help to... being... to Education monitoring...... and...... Ar.................. help......to help......to...... ar... to tab...... of maybe... to assistance...... a... to UEFA...... in...... el...... dev...... AV...... beyond......sur Sur...... Assist.........) to... “ Help...... Do...... Avo...... Help...... that...... (...)...... as......that...... while...... hoping......"
seg_0372,1128.78,1130.7,1.92,est-ce que tu as fait tes devoirs ?,se que ta fêté de voir risque porte,Did you do your homework?,"to help, to not watch, did you do your homework? I think that if the parent",Do you have to be honest? Do you know what you’re doing out of your ears? ”......parparpar-par......?
seg_0373,1130.7,1136.38,5.68,"Je pense que le parent, il faut que le parent joue le jeu aujourd'hui dans la façon dont il est fait à l'école.",jepense que si le parent ausi synt-éphouquele parent jouet le jeu aujourdhui dans la façon dont est faite l'école,I think that if the parent should play the game today in the way the school is made.,"I think that if the parent also has to play the game today in the way you did at school, what my girlfriend was doing,","I think that if the parents, as well as Saint-Éphephephe’s parents, are playing games today in the way the school is celebrated at school."
seg_0374,1137.08,1139.64,2.56,"Ce que faisait ma copine, elle me disait, je m'en fous, il est grand, il fait ce qu'il veut,",s-ce que vous aimes a copine une dimouchement fouil est grand et chesqiveux,"My girlfriend said to me, I don't care, he's tall, he does what he wants.","you did at school, what my girlfriend was doing, she said to me, I do not care, he is big, he does what he wants,","What I do for myself, my copies, my copy of my copy, me me, my me me me myself, mine mine my big... my riches, what who who who wants what what what who wants?... what who what who needs what what anyone who who what what whatever what what whom what what everything what what everyone what what that who who Who who who whatever whatever what whatever whatever whatever... what what the big... and what who whatever what who want what what w... what to what what... what... whatever what is what what if what what... what what — what what, what what’ what what with what what...... my mom, what... my big, what, my colo... my me, what my, my, what cooking, my... my fat, my myself, what that what what my big big, and what whatwhat what what this who who anything what what What what whatWhat what whatever what what else what what people who what whatever who who whom what who Who what what their what what? what what they what what all what what when what what which what what in what what everybody what what whose what what those what what Who who what...... what that whatever what... that what who whom who who... whatever whatever who what w what what from what what on what what rich what what ”... what, whatever what that... what whatever that what whatever...... my my my... what my my copie me my my copy what my myself what my copie what my whatever what my what my copy me my myself my my whatever my my myself myself my copie my my piece my my info what my mom what my... me my mine my my mom my my mine what my me what my coverage what my painting my my cou what my Mom my my what what mine my myself... my myself whatever my mine mine what what myself what what stuff my my boss what my mine... my... mine my me my me... my mine me, mine me me... mine mine mine me myself myself myself, me, me myself me me my, mine, my my me myself my me mine mine myself myself me, myself myself what mine mine, mine my mine, what mine what big big big... what grow what what king what what bigger... and whatever what everything whatever what What who who need what what where what whatW what what el what what riche what what! what what wealth what what doing what what W what what WHO what what at what whatw what what important what whatbig"
seg_0375,1139.72,1141.42,2026-07-01 00:00:00,je ne veux pas regarder son cahier de...,n je vau pasrgardé sans cayède,I don't want to look at it without a notebook.,"I do not want to watch his notebook,",I thought I was looking over my shell.
seg_0376,1142.16,1148.34,6.18,"Je lui dis, si tu ne regardes pas, il ne va pas le faire, il peut être vite dans l'échec.",chilibasiturgarpa y va palefer et voilà il exite pe être vite dans léchec,"I said, if you don't look, he won't do it. He can be fast in failure.","I said, if you do not watch, he will not do it, he can be quickly in failure.","Well, look, if you don’t look at it, you won’t do it! And, well, he’s going to do it. Well, it’s fast! He can be quick in chess."
